Inscricao;Perfil;Cargo;Estado;Concorre Vaga Ampla Concorrência;Concorre Vagas Reservadas às pessoas com deficiência;Concorre Vagas reservadas aos candidatos negros;Cidade onde realizará a 1a Etapa das Provas;Estado onde realizará a 1a Etapa das Provas
3002565;PE51;Microbiologia Básica e Molecular aplicada a Bactérias e Protozoários causadores de Zoonoses;Recife;Sim;Não;Não;Fortaleza;CE
3000791;PE46;Micologia Molecular e Celular;Curitiba;Sim;Não;Não;Brasília;DF
3001511;PE34;Epidemiologia e Vigilância em Saúde Pública;Manaus;Sim;Não;Não;Rio de Janeiro;RJ
3002202;PE79;Desenvolvimento de métodos para controle de qualidade de produtos inovadores;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002805;PE69;Bioinformática aplicada a doenças infecciosas;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000843;PE11;Direitos Humanos e Saúde;Rio de Janeiro;Sim;Não;Não;Campo Grande;MS
3000746;PE55;Bioecologia, vigilância e controle de culicídeos;Recife;Sim;Não;Não;Rio de Janeiro;RJ
3002010;PE41;Biologia celular e molecular da interação vetor/patógeno/ hospedeiro;Belo Horizonte;Sim;Não;Não;Brasília;DF
3003954;PE78;Comunicação e Saúde;Rio de Janeiro;Sim;Não;Não;Belo Horizonte;MG
3000481;PE48;Engenharia Biomédica;Curitiba;Sim;Não;Não;Curitiba;PR
3001235;PE44;Pesquisa Qualitativa;Belo Horizonte;Sim;Não;Não;Rio de Janeiro;RJ
3003595;PE47;Biologia Molecular Aplicada ao Desenvolvimento de Sistemas de Expressão e Processos de Produção de Proteínas Recombinantes;Curitiba;Sim;Não;Não;Curitiba;PR
3003726;PE58;Desenvolvimento e validação de metodologias alternativas ao uso de animais na pesquisa;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001313;PE36;Vigilância em Saúde e Ambiente na Amazônia;Manaus;Sim;Não;Não;Brasília;DF
3003285;PE56;Ciências Sociais em Saúde;Brasília;Sim;Não;Sim;Belo Horizonte;MG
3002662;PE41;Biologia celular e molecular da interação vetor/patógeno/ hospedeiro;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3002433;PE90;Doenças crônico degenerativas de interesse em saúde pública;Rio de Janeiro;Sim;Sim;Não;Rio de Janeiro;RJ
3001634;PE62;Cientista de Dados;Rio de Janeiro;Sim;Não;Sim;Salvador;BA
3001211;PE43;Epidemiologia;Belo Horizonte;Sim;Não;Não;Campo Grande;MS
3002564;PE38;Microbiologia molecular com ênfase em bioinformática;Manaus;Sim;Não;Sim;Manaus;AM
3002032;PE78;Comunicação e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003999;PE53;Biologia molecular das doenças transmissíveis;Recife;Sim;Não;Não;Recife;PE
3000658;PE82;Micologia aplicada a saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000688;PE47;Biologia Molecular Aplicada ao Desenvolvimento de Sistemas de Expressão e Processos de Produção de Proteínas Recombinantes;Curitiba;Sim;Não;Não;Curitiba;PR
3004380;PE22;Educação profissional de nível médio na área de políticas de cuidado para a pessoa idosa;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002730;PE54;Saúde Coletiva;Recife;Sim;Não;Não;Curitiba;PR
3003867;PE37;Planejamento, Financiamento e Modelos de Gestão e Atenção à Saúde;Manaus;Sim;Não;Não;Manaus;AM
3004497;PE23;Iniciação científica na educação básica com ênfase em estudos sobre juventude;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002898;PE22;Educação profissional de nível médio na área de políticas de cuidado para a pessoa idosa;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003698;PE10;Assistência Farmacêutica;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004327;PE15;Saneamento e Vigilância em Saúde Ambiental;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004336;PE09;Violência e saúde;Rio de Janeiro;Sim;Não;Não;Campo Grande;MS
3001403;PE61;Pesquisador da Área das Ciências Humanas e Sociais;Rio de Janeiro;Sim;Não;Não;Manaus;AM
3001368;PE50;Virologia Clássica e molecular;Recife;Sim;Não;Não;Porto Velho;RO
3004797;PE36;Vigilância em Saúde e Ambiente na Amazônia;Manaus;Sim;Não;Não;Curitiba;PR
3000972;PE70;Biologia Celular e Molecular de microorganismos;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000620;PE46;Micologia Molecular e Celular;Curitiba;Sim;Não;Não;Curitiba;PR
3000220;PE11;Direitos Humanos e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000748;PE11;Direitos Humanos e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001504;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Não;Não;Curitiba;PR
3002728;PE82;Micologia aplicada a saúde;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3001628;PE06;História, Memória e Patrimônio Cultural;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000661;PE23;Iniciação científica na educação básica com ênfase em estudos sobre juventude;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001389;PE84;Pesquisa e Desenvolvimento de vacinas como estratégia de controle no combate a doenças infecto parasitárias;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3004656;PE90;Doenças crônico degenerativas de interesse em saúde pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002015;PE09;Violência e saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000938;PE35;Saúde Única na Amazônia;Manaus;Sim;Não;Não;Rio de Janeiro;RJ
3000970;PE40;Virologia com ênfase em doenças emergentes e reemergentes;Belo Horizonte;Sim;Não;Não;Rio de Janeiro;RJ
3000384;PE81;Epidemiologia em Saúde Pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002868;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001498;PE85;Mudanças climáticas, emergências sanitárias e vigilância em saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003850;PE55;Bioecologia, vigilância e controle de culicídeos;Recife;Sim;Não;Não;Manaus;AM
3004105;PE80;Desenvolvimento de metodologias de identificação e quantificação de nano produtos sujeitos à vigilância sanitária;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3002325;PE16;Ciência, Tecnologia e Inovação em Saúde Pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004322;PE40;Virologia com ênfase em doenças emergentes e reemergentes;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3004016;PE83;Pesquisa Qualitativa;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003747;PE51;Microbiologia Básica e Molecular aplicada a Bactérias e Protozoários causadores de Zoonoses;Recife;Sim;Não;Não;Recife;PE
3000155;PE20;Educação profissional de nível médio na área de saúde mental;Rio de Janeiro;Sim;Não;Não;Porto Velho;RO
3001978;PE18;Populações vulnerabilizadas, grupos étnico, políticas públicas e equidade social;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003452;PE83;Pesquisa Qualitativa;Rio de Janeiro;Sim;Não;Não;Brasília;DF
3003739;PE08;Microbiologia Ambiental com ênfase em saúde única;Rio de Janeiro;Sim;Não;Não;Fortaleza;CE
3000429;PE15;Saneamento e Vigilância em Saúde Ambiental;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002808;PE20;Educação profissional de nível médio na área de saúde mental;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001301;PE48;Engenharia Biomédica;Curitiba;Sim;Não;Não;Brasília;DF
3003489;PE43;Epidemiologia;Belo Horizonte;Sim;Não;Não;Rio de Janeiro;RJ
3004682;PE14;Política, planejamento, equidade e Promoção da Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002535;PE30;Pesquisa Clínica;Salvador;Sim;Não;Não;Curitiba;PR
3001968;PE90;Doenças crônico degenerativas de interesse em saúde pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004643;PE33;Medicina e Saúde Pública de Precisão;Salvador;Sim;Não;Não;Belo Horizonte;MG
3004431;PE22;Educação profissional de nível médio na área de políticas de cuidado para a pessoa idosa;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003879;PE45;Espectrometria de Massas Computacional;Curitiba;Sim;Não;Não;Fortaleza;CE
3002269;PE41;Biologia celular e molecular da interação vetor/patógeno/ hospedeiro;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3004189;PE18;Populações vulnerabilizadas, grupos étnico, políticas públicas e equidade social;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000177;PE01;Bioinformática;Rio de Janeiro;Sim;Não;Não;Belo Horizonte;MG
3000532;PE17;Cooperação em Políticas, Sistemas e Gestão de Saúde;Rio de Janeiro;Sim;Sim;Sim;Rio de Janeiro;RJ
3000011;PE56;Ciências Sociais em Saúde;Brasília;Sim;Não;Não;Brasília;DF
3000515;PE16;Ciência, Tecnologia e Inovação em Saúde Pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004024;PE26;Biologia e biodiversidade em saúde com ênfase em vetores e parasitas de doenças negligenciadas;Teresina;Sim;Não;Não;Recife;PE
3000648;PE72;Pesquisa Clínica em Micobacterioses;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003494;PE88;Bioquímica, Biologia Celular e Molecular de Bactérias de Interesse em Saúde Pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004318;PE61;Pesquisador da Área das Ciências Humanas e Sociais;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000349;PE08;Microbiologia Ambiental com ênfase em saúde única;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002864;PE61;Pesquisador da Área das Ciências Humanas e Sociais;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000444;PE56;Ciências Sociais em Saúde;Brasília;Sim;Não;Não;Curitiba;PR
3001615;PE13;Saúde do Trabalhador e Ecologia Humana com ênfase em Vigilância e Promoção da Saúde;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3000904;PE14;Política, planejamento, equidade e Promoção da Saúde;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3002605;PE49;Genética molecular de tripanossomatídeos patogênicos;Curitiba;Sim;Não;Não;Manaus;AM
3003202;PE42;Política, planejamento e gestão de sistemas, programas e serviços de saúde;Belo Horizonte;Sim;Não;Não;Curitiba;PR
3002557;PE12;Epidemiologia;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002619;PE42;Política, planejamento e gestão de sistemas, programas e serviços de saúde;Belo Horizonte;Sim;Não;Sim;Belo Horizonte;MG
3002755;PE15;Saneamento e Vigilância em Saúde Ambiental;Rio de Janeiro;Sim;Não;Sim;Campo Grande;MS
3004270;PE04;História, Memória e Patrimônio Cultural;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000966;PE07;Análise de Políticas e Sistemas de Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001352;PE43;Epidemiologia;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3002219;PE90;Doenças crônico degenerativas de interesse em saúde pública;Rio de Janeiro;Sim;Não;Sim;Brasília;DF
3001330;PE81;Epidemiologia em Saúde Pública;Rio de Janeiro;Sim;Não;Não;Belo Horizonte;MG
3003230;PE12;Epidemiologia;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002416;PE20;Educação profissional de nível médio na área de saúde mental;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002825;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003575;PE43;Epidemiologia;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3000132;PE54;Saúde Coletiva;Recife;Sim;Não;Não;Recife;PE
3002850;PE17;Cooperação em Políticas, Sistemas e Gestão de Saúde;Rio de Janeiro;Sim;Não;Não;Salvador;BA
3003917;PE13;Saúde do Trabalhador e Ecologia Humana com ênfase em Vigilância e Promoção da Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004172;PE90;Doenças crônico degenerativas de interesse em saúde pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002962;PE56;Ciências Sociais em Saúde;Brasília;Sim;Não;Não;Brasília;DF
3003487;PE48;Engenharia Biomédica;Curitiba;Sim;Não;Não;Curitiba;PR
3002609;PE63;Pesquisa Clínica na Área da Mulher;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001337;PE56;Ciências Sociais em Saúde;Brasília;Sim;Não;Não;Recife;PE
3002466;PE09;Violência e saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002930;PE83;Pesquisa Qualitativa;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002694;PE09;Violência e saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000516;PE57;Vigilância em Saúde;Brasília;Sim;Não;Não;Brasília;DF
3003055;PE20;Educação profissional de nível médio na área de saúde mental;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003396;PE81;Epidemiologia em Saúde Pública;Rio de Janeiro;Sim;Não;Não;Curitiba;PR
3003677;PE75;Informação Científica e Tecnológica em Saúde II;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003545;PE60;Pesquisa Translacional;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003215;PE25;Química de Produtos Naturais aplicada a região do Cerrado Pantanal;Campo Grande;Sim;Não;Não;Belo Horizonte;MG
3003282;PE09;Violência e saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001717;PE20;Educação profissional de nível médio na área de saúde mental;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002461;PE44;Pesquisa Qualitativa;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3000087;PE30;Pesquisa Clínica;Salvador;Sim;Não;Sim;Salvador;BA
3004360;PE82;Micologia aplicada a saúde;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3002114;PE89;Bioquímica, Biologia Celular e Biologia Molecular de Parasitos de Interesse na Saúde Pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003808;PE84;Pesquisa e Desenvolvimento de vacinas como estratégia de controle no combate a doenças infecto parasitárias;Rio de Janeiro;Sim;Não;Não;Belo Horizonte;MG
3003630;PE01;Bioinformática;Rio de Janeiro;Sim;Não;Não;Belo Horizonte;MG
3000339;PE33;Medicina e Saúde Pública de Precisão;Salvador;Sim;Não;Não;Salvador;BA
3000651;PE78;Comunicação e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000269;PE34;Epidemiologia e Vigilância em Saúde Pública;Manaus;Sim;Não;Não;Manaus;AM
3004226;PE34;Epidemiologia e Vigilância em Saúde Pública;Manaus;Sim;Não;Sim;Teresina;PI
3001242;PE18;Populações vulnerabilizadas, grupos étnico, políticas públicas e equidade social;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002869;PE20;Educação profissional de nível médio na área de saúde mental;Rio de Janeiro;Sim;Não;Não;Brasília;DF
3000052;PE07;Análise de Políticas e Sistemas de Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002660;PE44;Pesquisa Qualitativa;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3003912;PE43;Epidemiologia;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3002543;PE80;Desenvolvimento de metodologias de identificação e quantificação de nano produtos sujeitos à vigilância sanitária;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002577;PE50;Virologia Clássica e molecular;Recife;Sim;Não;Não;Recife;PE
3003983;PE13;Saúde do Trabalhador e Ecologia Humana com ênfase em Vigilância e Promoção da Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002472;PE31;Virologia Evolutiva e Computacional;Salvador;Sim;Não;Não;Salvador;BA
3001642;PE24;Biodiversidade e Vigilância Genômica no âmbito da Saúde Única;Campo Grande;Sim;Não;Não;Campo Grande;MS
3001521;PE78;Comunicação e Saúde;Rio de Janeiro;Sim;Não;Não;Curitiba;PR
3001889;PE31;Virologia Evolutiva e Computacional;Salvador;Sim;Não;Não;Rio de Janeiro;RJ
3002353;PE88;Bioquímica, Biologia Celular e Molecular de Bactérias de Interesse em Saúde Pública;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3003006;PE11;Direitos Humanos e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000160;PE39;Biotecnologia aplicada a Inovações Terapêuticas e Imunobiológicos;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3004133;PE30;Pesquisa Clínica;Salvador;Sim;Não;Não;Recife;PE
3001057;PE47;Biologia Molecular Aplicada ao Desenvolvimento de Sistemas de Expressão e Processos de Produção de Proteínas Recombinantes;Curitiba;Sim;Não;Não;Brasília;DF
3002143;PE40;Virologia com ênfase em doenças emergentes e reemergentes;Belo Horizonte;Sim;Não;Sim;Rio de Janeiro;RJ
3004170;PE73;Análise Estatística em Pesquisa Clínica;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004544;PE38;Microbiologia molecular com ênfase em bioinformática;Manaus;Sim;Não;Não;Manaus;AM
3002211;PE30;Pesquisa Clínica;Salvador;Sim;Não;Não;Rio de Janeiro;RJ
3000674;PE46;Micologia Molecular e Celular;Curitiba;Sim;Não;Não;Curitiba;PR
3000922;PE40;Virologia com ênfase em doenças emergentes e reemergentes;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3002313;PE53;Biologia molecular das doenças transmissíveis;Recife;Sim;Não;Sim;Recife;PE
3003047;PE80;Desenvolvimento de metodologias de identificação e quantificação de nano produtos sujeitos à vigilância sanitária;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000865;PE19;Educação profissional de nível médio com ênfase em trabalho e educação em saúde;Rio de Janeiro;Sim;Não;Sim;Salvador;BA
3001609;PE90;Doenças crônico degenerativas de interesse em saúde pública;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3003002;PE44;Pesquisa Qualitativa;Belo Horizonte;Sim;Não;Sim;Recife;PE
3003720;PE22;Educação profissional de nível médio na área de políticas de cuidado para a pessoa idosa;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001959;PE90;Doenças crônico degenerativas de interesse em saúde pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003664;PE69;Bioinformática aplicada a doenças infecciosas;Rio de Janeiro;Sim;Não;Não;Campo Grande;MS
3004492;PE47;Biologia Molecular Aplicada ao Desenvolvimento de Sistemas de Expressão e Processos de Produção de Proteínas Recombinantes;Curitiba;Sim;Não;Não;Curitiba;PR
3003040;PE41;Biologia celular e molecular da interação vetor/patógeno/ hospedeiro;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3004164;PE44;Pesquisa Qualitativa;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3004461;PE47;Biologia Molecular Aplicada ao Desenvolvimento de Sistemas de Expressão e Processos de Produção de Proteínas Recombinantes;Curitiba;Sim;Não;Não;Belo Horizonte;MG
3003542;PE56;Ciências Sociais em Saúde;Brasília;Sim;Não;Não;Brasília;DF
3003963;PE35;Saúde Única na Amazônia;Manaus;Sim;Não;Não;Curitiba;PR
3001776;PE64;Métodos Quantitativos;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000546;PE84;Pesquisa e Desenvolvimento de vacinas como estratégia de controle no combate a doenças infecto parasitárias;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000098;PE82;Micologia aplicada a saúde;Rio de Janeiro;Sim;Sim;Não;Rio de Janeiro;RJ
3001328;PE44;Pesquisa Qualitativa;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3003813;PE40;Virologia com ênfase em doenças emergentes e reemergentes;Belo Horizonte;Sim;Não;Não;Belo Horizonte;MG
3003596;PE46;Micologia Molecular e Celular;Curitiba;Sim;Não;Sim;Curitiba;PR
3001767;PE80;Desenvolvimento de metodologias de identificação e quantificação de nano produtos sujeitos à vigilância sanitária;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002530;PE57;Vigilância em Saúde;Brasília;Sim;Não;Sim;Rio de Janeiro;RJ
3000336;PE25;Química de Produtos Naturais aplicada a região do Cerrado Pantanal;Campo Grande;Sim;Não;Sim;Manaus;AM
3000522;PE25;Química de Produtos Naturais aplicada a região do Cerrado Pantanal;Campo Grande;Sim;Não;Não;Fortaleza;CE
3001194;PE11;Direitos Humanos e Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002775;PE52;Genética Molecular Humana;Recife;Sim;Não;Não;Recife;PE
3000930;PE26;Biologia e biodiversidade em saúde com ênfase em vetores e parasitas de doenças negligenciadas;Teresina;Sim;Não;Não;Fortaleza;CE
3000454;PE81;Epidemiologia em Saúde Pública;Rio de Janeiro;Sim;Não;Não;Fortaleza;CE
3000133;PE28;Parasitos e vetores de malária na Amazônia;Porto Velho;Sim;Não;Não;Porto Velho;RO
3000337;PE56;Ciências Sociais em Saúde;Brasília;Sim;Não;Sim;Fortaleza;CE
3004784;PE19;Educação profissional de nível médio com ênfase em trabalho e educação em saúde;Rio de Janeiro;Sim;Não;Sim;Fortaleza;CE
3001174;PE28;Parasitos e vetores de malária na Amazônia;Porto Velho;Sim;Não;Não;Manaus;AM
3004514;PE41;Biologia celular e molecular da interação vetor/patógeno/ hospedeiro;Belo Horizonte;Sim;Não;Não;Rio de Janeiro;RJ
3000609;PE13;Saúde do Trabalhador e Ecologia Humana com ênfase em Vigilância e Promoção da Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001290;PE43;Epidemiologia;Belo Horizonte;Sim;Não;Não;Fortaleza;CE
3004582;PE44;Pesquisa Qualitativa;Belo Horizonte;Sim;Não;Não;Rio de Janeiro;RJ
3000442;PE26;Biologia e biodiversidade em saúde com ênfase em vetores e parasitas de doenças negligenciadas;Teresina;Sim;Não;Não;Teresina;PI
3004699;PE80;Desenvolvimento de metodologias de identificação e quantificação de nano produtos sujeitos à vigilância sanitária;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004098;PE81;Epidemiologia em Saúde Pública;Rio de Janeiro;Sim;Não;Não;Fortaleza;CE
3001373;PE18;Populações vulnerabilizadas, grupos étnico, políticas públicas e equidade social;Rio de Janeiro;Sim;Não;Não;Teresina;PI
3000509;PE85;Mudanças climáticas, emergências sanitárias e vigilância em saúde;Rio de Janeiro;Sim;Não;Não;Curitiba;PR
3004013;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Não;Sim;Rio de Janeiro;RJ
3000307;PE30;Pesquisa Clínica;Salvador;Sim;Não;Não;Belo Horizonte;MG
3003117;PE44;Pesquisa Qualitativa;Belo Horizonte;Sim;Não;Sim;Recife;PE
3001490;PE30;Pesquisa Clínica;Salvador;Sim;Não;Não;Salvador;BA
3002804;PE53;Biologia molecular das doenças transmissíveis;Recife;Sim;Não;Não;Recife;PE
3003159;PE20;Educação profissional de nível médio na área de saúde mental;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002836;PE36;Vigilância em Saúde e Ambiente na Amazônia;Manaus;Sim;Não;Não;Manaus;AM
3000723;PE08;Microbiologia Ambiental com ênfase em saúde única;Rio de Janeiro;Sim;Não;Não;Recife;PE
3002367;PE05;Estudos de Público e Educação Museal;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003113;PE85;Mudanças climáticas, emergências sanitárias e vigilância em saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003923;PE15;Saneamento e Vigilância em Saúde Ambiental;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002437;PE90;Doenças crônico degenerativas de interesse em saúde pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000814;PE60;Pesquisa Translacional;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001001;PE50;Virologia Clássica e molecular;Recife;Sim;Não;Não;Recife;PE
3000422;PE08;Microbiologia Ambiental com ênfase em saúde única;Rio de Janeiro;Sim;Não;Não;Brasília;DF
3003223;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002891;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003531;PE49;Genética molecular de tripanossomatídeos patogênicos;Curitiba;Sim;Não;Não;Curitiba;PR
3001082;PE05;Estudos de Público e Educação Museal;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003900;PE80;Desenvolvimento de metodologias de identificação e quantificação de nano produtos sujeitos à vigilância sanitária;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3002720;PE47;Biologia Molecular Aplicada ao Desenvolvimento de Sistemas de Expressão e Processos de Produção de Proteínas Recombinantes;Curitiba;Sim;Não;Não;Curitiba;PR
3004349;PE69;Bioinformática aplicada a doenças infecciosas;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3004337;PE13;Saúde do Trabalhador e Ecologia Humana com ênfase em Vigilância e Promoção da Saúde;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3001398;PE74;Informação Científica e Tecnológica em Saúde I;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003084;PE20;Educação profissional de nível médio na área de saúde mental;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000636;PE24;Biodiversidade e Vigilância Genômica no âmbito da Saúde Única;Campo Grande;Sim;Não;Não;Curitiba;PR
3001348;PE20;Educação profissional de nível médio na área de saúde mental;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003316;PE57;Vigilância em Saúde;Brasília;Sim;Não;Não;Brasília;DF
3000885;PE03;História da Saúde e História das Ciências;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003347;PE30;Pesquisa Clínica;Salvador;Sim;Não;Sim;Recife;PE
3003904;PE88;Bioquímica, Biologia Celular e Molecular de Bactérias de Interesse em Saúde Pública;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3003029;PE47;Biologia Molecular Aplicada ao Desenvolvimento de Sistemas de Expressão e Processos de Produção de Proteínas Recombinantes;Curitiba;Sim;Não;Não;Rio de Janeiro;RJ
3002692;PE46;Micologia Molecular e Celular;Curitiba;Sim;Não;Não;Curitiba;PR
3004051;PE80;Desenvolvimento de metodologias de identificação e quantificação de nano produtos sujeitos à vigilância sanitária;Rio de Janeiro;Sim;Não;Não;Salvador;BA
3002414;PE55;Bioecologia, vigilância e controle de culicídeos;Recife;Sim;Não;Não;Rio de Janeiro;RJ
3003818;PE23;Iniciação científica na educação básica com ênfase em estudos sobre juventude;Rio de Janeiro;Sim;Não;Não;Rio de Janeiro;RJ
3000552;PE60;Pesquisa Translacional;Rio de Janeiro;Sim;Não;Não;Curitiba;PR
3000551;PE20;Educação profissional de nível médio na área de saúde mental;Rio de Janeiro;Sim;Não;Não;Brasília;DF
